,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,AIE4001-001,AIE4001,1,인공지능종합설계,전체,3.0,전공필수,"월19,20,21,22,23,24(5남332)","이현규,김병형",상대평가, 
1,AIE1001-001,AIE1001,1,객체지향프로그래밍 1,1,3.0,전공필수,"화16,17,18,19(5남332) /수10,11,12,13(60주년-906)",김영성,절대평가, 
2,AIE1001-002,AIE1001,2,객체지향프로그래밍 1,1,3.0,전공필수,"화16,17,18,19(5남332) /수16,17,18,19(60주년-906)",김영성,절대평가, 
3,AIE1003-001,AIE1003,1,인공지능 입문,1,2.0,전공필수,"수4,5,6,7(5남332)",김도국,상대평가, 
4,MTH1001-046,MTH1001,46,일반수학 1,1,3.0,교양필수,"화7,8,9,목4,5,6(5동106B)",김기태,상대평가, 
5,ACE2104-007,ACE2104,7,통계학,2,3.0,교양필수,"월10,11,12,수10,11,12(5남332)",노설현,상대평가, 
6,AIE2001-001,AIE2001,1,자료구조,2,4.0,전공필수,"월1,2,3,수1,2,3(5남332) /금1,2,3,4(60주년-906)",김병형,절대평가, 
7,AIE2001-002,AIE2001,2,자료구조,2,4.0,전공필수,"월1,2,3,수1,2,3(5남332) /금9,10,11,12(60주년-906)",김병형,절대평가, 
8,AIE2003-001,AIE2003,1,선형대수,2,3.0,전공필수,"월13,14,15,수13,14,15(5남332)",노설현,상대평가, 
9,AIE2005-001,AIE2005,1,파이썬기반응용프로그래밍,2,3.0,전공선택,"화10,11,12,목10,11,12(60주년-906)",이현규,상대평가, 
10,AIE2009-001,AIE2009,1,오픈소스SW개론,2,3.0,전공선택,"수19,20,21,22,23,24(하-120)",김도국,상대평가, 
11,AIE3001-001,AIE3001,1,기계학습,3,3.0,전공필수,"월4,5,6,수4,5,6(5남136)",김병형,상대평가, 
12,AIE3002-001,AIE3002,1,알고리즘,3,3.0,전공필수,"화4,5,6,목4,5,6(5남332)",김도국,상대평가, 
13,AIE3006-001,AIE3006,1,운영체제론,3,3.0,전공선택,"수16,17,18,목10,11,12(하-120)",송민석,상대평가, 
14,AIE3007-001,AIE3007,1,데이터베이스,3,3.0,전공선택,"월7,8,9,화7,8,9(하-001)",서영덕,상대평가, 
15,AIE3010-001,AIE3010,1,컴퓨터구조론,3,3.0,전공선택,"월10,11,12,금10,11,12(하-220)",최영규,상대평가, 
16,AIE4003-001,AIE4003,1,강화학습,4,3.0,전공선택,"화1,2,3,목1,2,3(5남332)",김병형,상대평가, 
