,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,HUM1001-002,HUM1001,2,언어의 이해,전체,3.0,교양필수,"월7,8,9,목4,5,6(5남518)",박강훈,상대평가, 
1,HUM1001-003,HUM1001,3,언어의 이해,전체,3.0,교양필수,"월7,8,9,목4,5,6(5동208A)",박용만,상대평가, 
2,HUM1002-002,HUM1002,2,문학의 이해,전체,3.0,교양필수,"수7,8,9,금7,8,9(5동208A)",김정희,상대평가, 
3,HUM1021-001,HUM1021,1,일본어 1,전체,3.0,교양필수,"화13,14,15(5남518) /목7,8,9(5남505)",모세종,상대평가,전공생반
4,HUM1021-002,HUM1021,2,일본어 1,전체,3.0,교양필수,"화16,17,18,목13,14,15(5남518)",모세종,상대평가,전공생반
5,HUM1021-003,HUM1021,3,일본어 1,전체,3.0,교양필수,"화13,14,15(5남503) /수10,11,12(5남401)",송수진,상대평가,타과생반
6,HUM1021-004,HUM1021,4,일본어 1,전체,3.0,교양필수,"화16,17,18,목13,14,15(5남503)",송수진,상대평가,타과생반
7,HUM1021-005,HUM1021,5,일본어 1,전체,3.0,교양필수,"월10,11,12,목7,8,9(5남503)",박용만,상대평가,재수강생반
8,JPN1001-001,JPN1001,1,일본어연습 1,1,3.0,전공선택,"월4,5,6,수4,5,6(5남518)",민병찬,상대평가, 
9,JPN1001-002,JPN1001,2,일본어연습 1,1,3.0,전공선택,"월10,11,12,수10,11,12(5남518)",민병찬,상대평가, 
10,JPN1106-001,JPN1106,1,일본언어문화학입문,1,3.0,전공선택,"수13,14,15,16,17,18(5남331)",이성규,상대평가, 
11,JPN1003-001,JPN1003,1,일본어문법 1,2,3.0,전공선택,"수13,14,15,목10,11,12(5남518)",박강훈,상대평가, 
12,JPN2003-001,JPN2003,1,일본어작문 1,2,3.0,전공선택,"화4,5,6,수16,17,18(5남518)",민병찬,상대평가, 
13,JPN2020-001,JPN2020,1,일본어강독 1,2,3.0,전공선택,"월13,14,15,수4,5,6(5남503)",박강훈,상대평가, 
14,JPN2022-001,JPN2022,1,일본문학의 이해,2,3.0,전공선택,"수7,8,9,금7,8,9(5남518)",이가현,상대평가, 
15,JPN3025-001,JPN3025,1,일본 근현대 문화,2,3.0,전공선택,"화13,14,15,16,17,18(5남505)",임용택,상대평가, 
16,JPN3014-001,JPN3014,1,일본어표현연습,3,3.0,전공선택,"월16,17,18,화10,11,12(5남518)",민병찬,상대평가, 
17,JPN3020-001,JPN3020,1,일본근·현대소설,3,3.0,전공선택,"수10,11,12,금10,11,12(5남503)",이가현,상대평가, 
18,JPN4016-001,JPN4016,1,제이팝일본어,3,3.0,전공선택,"수13,14,15,16,17,18(5남025)","모세종,송수진",절대평가, 
19,JPN4018-001,JPN4018,1,한일관계의 어제와 오늘,3,3.0,전공선택,"화4,5,6,목4,5,6(5남503)",모세종,상대평가, 
20,JPN3013-001,JPN3013,1,일본어통역번역연습,4,3.0,전공선택,"수10,11,12,목10,11,12(5남103)",모세종,상대평가, 
21,JPN3022-001,JPN3022,1,일본문학산책,4,3.0,전공선택,"수4,5,6,금4,5,6(5동208A)",김정희,상대평가, 
22,JPN4001-001,JPN4001,1,일본어토론과 프레젠테이션,4,3.0,전공선택,"월4,5,6,수7,8,9(5남503)",박강훈,절대평가,"일본어,Japanese"
