,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,EEG1521-001,EEG1521,1,영어청해연습 1,1,3.0,전공선택,"월1,2,3,화1,2,3(서-428)",박선주,절대평가,"영어,English"
1,EEG1522-001,EEG1522,1,영문독해연습 1,1,3.0,전공선택,"월10,11,12,수4,5,6(서-428)",성귀복,절대평가,"영어,English"
2,EEG1531-001,EEG1531,1,실용영문법,1,3.0,전공선택,"수13,14,15(서-404) /목16,17,18(서-428)",서재석,절대평가,"영어,English, 협동학습"
3,EEG2521-001,EEG2521,1,영어과교육과정및교재개발,2,3.0,전공선택,"월13,14,15,화13,14,15(서-428)",이소영,절대평가,"영어,English"
4,EEG2624-001,EEG2624,1,영작문 1,2,3.0,전공선택,"월4,5,6(서-404) /수7,8,9(서-237A)",브로케티,절대평가,English
5,EEG2624-002,EEG2624,2,영작문 1,2,3.0,전공선택,"화4,5,6(서-404) /목4,5,6(서-428)",브로케티,절대평가,English
6,EEG2631-001,EEG2631,1,영어발음연습및지도법,2,3.0,전공필수,"금1,2,3,4,5,6(서-428)",장지원,상대평가,프로젝트기반 수업
7,EEG2631-002,EEG2631,2,영어발음연습및지도법,2,3.0,전공필수,"금7,8,9,10,11,12(서-428)",장지원,상대평가,프로젝트기반 수업
8,EDC4108-001,EDC4108,1,교직실무,3,2.0,교직과정,"화19,20,21,22(서-428)",이영주,절대평가, 
9,EEG3327-001,EEG3327,1,영문독해연습 3,3,3.0,전공선택,"수7,8,9,목10,11,12(서-428)",서재석,절대평가,"영어,English, 협동학습"
10,EEG3370-001,EEG3370,1,영어과교수능력계발,3,3.0,전공선택,"월13,14,15,수10,11,12(서-404)",성귀복,절대평가,"영어,English"
11,EEG3706-001,EEG3706,1,영어회화 2,3,3.0,전공필수,"월7,8,9(서-428) /수4,5,6(서-237A)",브로케티,상대평가,English
12,EEG3706-002,EEG3706,2,영어회화 2,3,3.0,전공필수,"화7,8,9,목7,8,9(서-428)",브로케티,상대평가,English
13,EEG3731-001,EEG3731,1,영어학개론,3,3.0,전공필수,"수13,14,15,16,17,18(서-428)",이현우,상대평가, 
14,EEG4347-001,EEG4347,1,영미희곡교육,3,3.0,전공선택,"월10,11,12(서-237A) /화10,11,12(서-404)",박선주,절대평가,"영어,English"
15,EDC4109-004,EDC4109,4,교육실습,4,2.0,교직과정,"수4,5,6,7(서-404)",이현우,절대평가, 
16,EEG4405-001,EEG4405,1,영어과정중심평가,4,3.0,전공선택,"월10,11,12(서-404) /화10,11,12(서-428)",이소영,절대평가,"영어,English"
17,EEG4406-001,EEG4406,1,영어교수법,4,3.0,전공선택,"화13,14,15,16,17,18(서-404)",성귀복,절대평가,"영어,English"
18,EEG4805-001,EEG4805,1,영미소설교육,4,3.0,전공선택,"월4,5,6,화4,5,6(서-428)",박선주,절대평가,"영어,English"
